N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
160,영원무역,"30,200",150,-0.49%,500,"13,382","44,311",23.14,"105,076",8.17,9.82,
161,대한전선,"1,550",235,+17.87%,500,"13,275","856,473",2.17,"26,051,097",-86.11,-3.99,
162,한전KPS,"29,250",150,+0.52%,200,"13,162","45,000",12.90,"108,534",10.86,14.98,
163,F&F,"84,800","1,800",-2.08%,500,"13,059","15,400",10.85,"123,426",14.99,25.13,
164,SK디스커버리,"68,100","1,200",+1.79%,"5,000","12,965","19,038",10.28,"103,748",4.47,11.52,
165,KODEX 200TR,"11,315",30,+0.27%,0,"12,899","114,000",20.26,"210,233",N/A,N/A,
166,제일약품,"87,000","2,600",+3.08%,500,"12,793","14,705",3.29,"1,178,322",-172.28,-5.96,
167,DGB금융지주,"7,500",20,+0.27%,"5,000","12,686","169,146",46.97,"538,935",4.08,7.31,
168,현대위아,"46,500",300,+0.65%,"5,000","12,646","27,195",11.68,"132,789",10.05,1.80,
169,일양약품,"65,000","1,000",+1.56%,"2,500","12,406","19,086",8.45,"204,382",120.15,5.20,
170,KODEX 코스닥150 레버리지,"13,395",435,+3.36%,0,"12,310","91,900",3.13,"32,814,708",N/A,N/A,
171,파미셀,"19,950",50,+0.25%,500,"11,962","59,959",7.80,"1,698,055",173.48,8.78,
172,SK네트웍스,"4,800",20,-0.41%,"2,500","11,913","248,188",12.05,"403,707",-20.78,-5.85,
173,대웅제약,"102,000","2,000",-1.92%,"2,500","11,818","11,587",4.83,"88,590",-713.29,4.34,
174,TIGER 단기통안채,"100,760",10,+0.01%,0,"11,771","11,682",6.23,"2,761",N/A,N/A,
175,롯데관광개발,"16,900",100,-0.59%,500,"11,708","69,276",4.89,"301,288",-24.82,-4.77,
176,이노션,"57,900","1,100",-1.86%,500,"11,580","20,000",29.31,"187,666",18.03,9.88,
177,아시아나항공,"5,170",160,+3.19%,"5,000","11,541","223,235",5.93,"19,896,533",-0.45,-90.67,
178,진원생명과학,"25,150",150,-0.59%,"1,000","11,258","44,763",11.54,"1,146,769",-72.90,-28.50,
179,신세계인터내셔날,"157,000","1,500",+0.96%,"5,000","11,210","7,140",4.79,"53,741",24.86,12.98,
180,JB금융지주,"5,680",90,-1.56%,"5,000","11,189","196,983",39.23,"343,979",3.43,10.36,
181,금호타이어,"3,880",0,0.00%,"5,000","11,146","287,260",4.22,"272,239",-11.12,-3.30,
182,코오롱인더,"40,450",50,+0.12%,"5,000","10,913","26,979",14.97,"159,663",7.24,1.58,
183,더블유게임즈,"58,800",100,-0.17%,500,"10,804","18,375",16.03,"105,201",10.08,18.93,
184,KODEX MSCI Korea TR,"11,325",30,+0.27%,0,"10,623","93,800",22.50,"639,041",N/A,N/A,
185,한국콜마,"45,300",950,-2.05%,500,"10,365","22,881",25.90,"346,847",32.59,6.39,
186,KBSTAR 200,"35,250",80,+0.23%,0,"10,064","28,550",0.37,"350,597",N/A,N/A,
187,휴켐스,"24,600",400,+1.65%,"1,000","10,056","40,879",8.88,"137,007",20.87,10.82,
188,SK가스,"108,500","1,000",+0.93%,"5,000","10,015","9,230",8.85,"10,414",2.54,9.85,
189,코스맥스,"98,200","1,200",-1.21%,500,"9,869","10,050",25.85,"120,650",24.31,10.45,
190,보령제약,"20,650","1,050",+5.36%,500,"9,834","47,620",8.28,"4,140,188",33.85,11.96,
